Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.1007E-13,3.7259E-13,-0.080431,0,0,0,2.5915,0.055662,9.1624E-16,1.4189E-08,0.0075187,-1.9803E-15,0.060968,0,0,0,0,0,0,package://description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description/meshes/base_link.STL,,chassis_motor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
flhr,-0.082548,0.00099028,-0.0018719,0,0,0,0.21717,5.4847E-05,3.0377E-06,-5.6547E-06,0.00030803,6.7836E-08,0.00031237,0,0,0,0,0,0,package://description/meshes/flhr.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://description/meshes/flhr.STL,,Demo-Leg-1-HR-1,Origin_j_flhr,Axis_j_flhr,j_flhr,revolute,0.0575,-0.19991,-0.115,1.5708,-0.011996,1.5708,base_link,0.99993,-0.011995,0,100,100,-0.5236,0,,,,,,,,
flhp,0.0428558322707208,-0.0331249053482535,0.0533357934919466,0,0,0,0.693967274657452,0.000902895717440258,0.000652779600842152,1.00410610498785E-05,0.00117563933707649,-6.69601324817181E-06,0.00185388109239571,0,0,0,0,0,0,package://description/meshes/flhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/flhp.STL,,Demo-Leg-1-HP-1,Origin_j_flhp,Axis_j_flhp,j_flhp,revolute,-0.046391,0.00055652,0.01635,0,0,0.37416,flhr,0,0,1,100,100,-1.2217,0,,,,,,,,
flkp,-0.160773614394568,-0.0591694156985878,0.016976555725189,0,0,0,0.121696114676655,4.82082653677754E-05,-7.94090394088978E-05,3.83921485232015E-11,0.000235726585573093,-1.14206285827479E-10,0.000269729630366022,0,0,0,0,0,0,package://description/meshes/flkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/flkp.STL,,Demo-Leg-1-KP-1,Origin_j_flkp,Axis_j_flkp,j_flkp,revolute,0.20244,-0.18308,0.026023,0,0,-0.86585,flhp,0,0,1,100,100,0,0.95993,,,,,,,,
rlhr,-0.0825484394507335,0.000990279527883053,-0.00187185343417275,0,0,0,0.217171318192734,5.48472556816269E-05,3.03774782283235E-06,-5.65470365180462E-06,0.000308033601074512,6.78357737576439E-08,0.000312369507182977,0,0,0,0,0,0,package://description/meshes/rlhr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/rlhr.STL,,Demo-Leg-1-HR-2,Origin_j_rlhr,Axis_j_rlhr,j_rlhr,revolute,0.0575,0.19991,-0.115,-1.5708,0.011996,-1.5708,base_link,0.99993,-0.011995,0,100,100,-0.17453,0.5236,,,,,,,,
rlhp,0.0428558322707217,-0.0331249053482502,0.0533357934919466,0,0,0,0.693967274657452,0.000902895717440256,0.000652779600842151,1.0041061049878E-05,0.00117563933707649,-6.69601324817142E-06,0.00185388109239571,0,0,0,0,0,0,package://description/meshes/rlhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/rlhp.STL,,Demo-Leg-1-HP-2,Origin_j_rlhp,Axis_j_rlhp,j_rlhp,revolute,-0.046391,0.00055652,0.01635,0,0,-3.0292,rlhr,0,0,1,100,100,-0.95993,0,,,,,,,,
rlkp,-0.160773568052752,-0.0591693852667058,0.0169765539878554,0,0,0,0.121696082641449,4.82083044827708E-05,-7.94089275911074E-05,3.81105199576272E-11,0.000235726631854796,-1.28918612369862E-10,0.000269729590228258,0,0,0,0,0,0,package://description/meshes/rlkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/rlkp.STL,,Demo-Leg-1-KP-2,Origin_j_rlkp,Axis_j_rlkp,j_rlkp,revolute,0.20244,-0.18308,0.026023,0,0,-0.86585,rlhp,0,0,1,100,100,0,0.95993,,,,,,,,
frhr,-0.0825484394507336,0.00099027952788304,-0.00187185343417302,0,0,0,0.217171318192734,5.48472556816269E-05,3.03774782283419E-06,-5.6547036518046E-06,0.000308033601074511,6.78357737576904E-08,0.000312369507182977,0,0,0,0,0,0,package://description/meshes/frhr.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/frhr.STL,,Demo-Leg-1-HR-4,Origin_j_frhr,Axis_j_frhr,j_frhr,revolute,-0.0575,-0.19991,-0.115,-1.5708,0.011996,1.5708,base_link,0.99993,-0.011995,0,100,100,0,0.5236,,,,,,,,
frhp,0.0474433086620266,-0.0259416128651269,-0.053369363105334,0,0,0,0.693181876494053,0.000707063443052804,0.000578045611097527,-1.09657688336643E-05,0.00136908932505153,5.0409735481957E-06,0.00185150207847565,0,0,0,0,0,0,package://description/meshes/frhp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/frhp.STL,,Demo-Leg-2-HP-2,Origin_j_frhp,Axis_j_frhp,j_frhp,revolute,-0.0463906138488967,0.000556517791082928,0.0163500000000001,3.14159265358979,0,-0.240900104116896,frhr,0,0,1,100,100,-1.2217,0,,,,,,,,
frkp,-0.142429101190215,-0.0952004515417478,-0.0169765199030201,0,0,0,0.121696114676655,9.4691653489718E-05,-0.000113408893066758,6.40883130688407E-11,0.000189243197451151,-1.02028039849044E-10,0.000269729630366022,0,0,0,0,0,0,package://description/meshes/frkp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://description/meshes/frkp.STL,,Demo-Leg-3-KP-1,Origin_j_frkp,Axis_j_frkp,j_frkp,revolute,0.228613023629153,-0.14911768985314,-0.0260234621858964,0,0,-0.945160157856503,frhp,0,0,1,100,100,0,0.95993,,,,,,,,
